ONIMI,OKOOD,MNIMI,MKOOD,Country,NUTS3,NUTS3Name,LAU1Code,LAU1Name,LAU2Code,LAU2Name,NatLAU2,NatLAU1,Pos,Total,Ratio,RatioCorr
Valjala vald,0858,Saare maakond,0074,EE,EE004,Lõõne-Eesti,EE0040074,Saare maakond,EE00400740858,Valjala vald,0858,0074,0,0,0,-9999
Albu vald,0129,Jõrva maakond,0051,EE,EE006,Kesk-Eesti,EE0060051,Jarva maakond,EE00600510129,Albu vald,0129,0051,0,26,0,0
Ambla vald,0134,Jõrva maakond,0051,EE,EE006,Kesk-Eesti,EE0060051,Jarva maakond,EE00600510134,Ambla vald,0134,0051,8,64,0.125,0.125
Imavere vald,0234,Jõrva maakond,0051,EE,EE006,Kesk-Eesti,EE0060051,Jarva maakond,EE00600510234,Imavere vald,0234,0051,5,161,0.0310559006,0.0310559006
Jõrva-Jaani vald,0257,Jõrva maakond,0051,EE,EE006,Kesk-Eesti,EE0060051,Jarva maakond,EE00600510257,Jarva-Jaani vald,0257,0051,4,41,0.0975609756,0.0975609756
Kareda vald,0288,Jõrva maakond,0051,EE,EE006,Kesk-Eesti,EE0060051,Jarva maakond,EE00600510288,Kareda vald,0288,0051,2,12,0.1666666667,0.1666666667
Koeru vald,0314,Jõrva maakond,0051,EE,EE006,Kesk-Eesti,EE0060051,Jarva maakond,EE00600510314,Koeru vald,0314,0051,3,18,0.1666666667,0.1666666667
Koigi vald,0325,Jõrva maakond,0051,EE,EE006,Kesk-Eesti,EE0060051,Jarva maakond,EE00600510325,Koigi vald,0325,0051,15,97,0.1546391753,0.1546391753
Paide vald,0565,Jõrva maakond,0051,EE,EE006,Kesk-Eesti,EE0060051,Jarva maakond,EE00600510565,Paide vald,0565,0051,2,100,0.02,0.02
Paide linn,0566,Jõrva maakond,0051,EE,EE006,Kesk-Eesti,EE0060051,Jarva maakond,EE00600510566,Paide linn,0566,0051,0,6,0,0
Roosna-Alliku vald,0684,Jõrva maakond,0051,EE,EE006,Kesk-Eesti,EE0060051,Jarva maakond,EE00600510684,Roosna-Alliku vald,0684,0051,5,59,0.0847457627,0.0847457627
T³ri vald,0835,Jõrva maakond,0051,EE,EE006,Kesk-Eesti,EE0060051,Jarva maakond,EE00600510835,T³ri vald,0835,0051,8,225,0.0355555556,0.0355555556
Võõtsa vald,0937,Jõrva maakond,0051,EE,EE006,Kesk-Eesti,EE0060051,Jarva maakond,EE00600510937,Võõtsa vald,0937,0051,0,194,0,0
Haljala vald,0190,Lõõne-Viru maakond,0059,EE,EE006,Kesk-Eesti,EE0060059,Laane-Viru maakond,EE00600590190,Haljala vald,0190,0059,0,2,0,0
Kadrina vald,0272,Lõõne-Viru maakond,0059,EE,EE006,Kesk-Eesti,EE0060059,Laane-Viru maakond,EE00600590272,Kadrina vald,0272,0059,1,188,0.0053191489,0.0053191489
Kunda linn,0345,Lõõne-Viru maakond,0059,EE,EE006,Kesk-Eesti,EE0060059,Laane-Viru maakond,EE00600590345,Kunda linn,0345,0059,0,0,0,-9999
Laekvere vald,0381,Lõõne-Viru maakond,0059,EE,EE006,Kesk-Eesti,EE0060059,Laane-Viru maakond,EE00600590381,Laekvere vald,0381,0059,6,140,0.0428571429,0.0428571429
Rakke vald,0660,Lõõne-Viru maakond,0059,EE,EE006,Kesk-Eesti,EE0060059,Laane-Viru maakond,EE00600590660,Rakke vald,0660,0059,6,64,0.09375,0.09375
Rakvere vald,0662,Lõõne-Viru maakond,0059,EE,EE006,Kesk-Eesti,EE0060059,Laane-Viru maakond,EE00600590662,Rakvere vald,0662,0059,0,56,0,0
Rakvere linn,0663,Lõõne-Viru maakond,0059,EE,EE006,Kesk-Eesti,EE0060059,Laane-Viru maakond,EE00600590663,Rakvere linn,0663,0059,0,0,0,-9999
Rõgavere vald,0702,Lõõne-Viru maakond,0059,EE,EE006,Kesk-Eesti,EE0060059,Laane-Viru maakond,EE00600590702,Rõgavere vald,0702,0059,0,132,0,0
S§meru vald,0770,Lõõne-Viru maakond,0059,EE,EE006,Kesk-Eesti,EE0060059,Laane-Viru maakond,EE00600590770,S§meru vald,0770,0059,0,12,0,0
Tamsalu vald,0786,Lõõne-Viru maakond,0059,EE,EE006,Kesk-Eesti,EE0060059,Laane-Viru maakond,EE00600590786,Tamsalu vald,0786,0059,21,346,0.0606936416,0.0606936416
Tapa vald,0790,Lõõne-Viru maakond,0059,EE,EE006,Kesk-Eesti,EE0060059,Laane-Viru maakond,EE00600590790,Tapa vald,0790,0059,8,128,0.0625,0.0625
Vihula vald,0887,Lõõne-Viru maakond,0059,EE,EE006,Kesk-Eesti,EE0060059,Laane-Viru maakond,EE00600590887,Vihula vald,0887,0059,0,40,0,0
Vinni vald,0900,Lõõne-Viru maakond,0059,EE,EE006,Kesk-Eesti,EE0060059,Laane-Viru maakond,EE00600590900,Vinni vald,0900,0059,7,185,0.0378378378,0.0378378378
Viru-Nigula vald,0902,Lõõne-Viru maakond,0059,EE,EE006,Kesk-Eesti,EE0060059,Laane-Viru maakond,EE00600590902,Viru-Nigula vald,0902,0059,0,64,0,0
Võike-Maarja vald,0926,Lõõne-Viru maakond,0059,EE,EE006,Kesk-Eesti,EE0060059,Laane-Viru maakond,EE00600590926,Võike-Maarja vald,0926,0059,20,228,0.0877192982,0.0877192982
Juuru vald,0240,Rapla maakond,0070,EE,EE006,Kesk-Eesti,EE0060070,Rapla maakond,EE00600700240,Juuru vald,0240,0070,0,171,0,0
Jõrvakandi vald,0260,Rapla maakond,0070,EE,EE006,Kesk-Eesti,EE0060070,Rapla maakond,EE00600700260,Jõrvakandi vald,0260,0070,0,10,0,0
Kaiu vald,0277,Rapla maakond,0070,EE,EE006,Kesk-Eesti,EE0060070,Rapla maakond,EE00600700277,Kaiu vald,0277,0070,0,331,0,0
Kehtna vald,0292,Rapla maakond,0070,EE,EE006,Kesk-Eesti,EE0060070,Rapla maakond,EE00600700292,Kehtna vald,0292,0070,5,360,0.0138888889,0.0138888889
Kohila vald,0317,Rapla maakond,0070,EE,EE006,Kesk-Eesti,EE0060070,Rapla maakond,EE00600700317,Kohila vald,0317,0070,0,93,0,0
Kõru vald,0375,Rapla maakond,0070,EE,EE006,Kesk-Eesti,EE0060070,Rapla maakond,EE00600700375,Kõru vald,0375,0070,5,282,0.0177304965,0.0177304965
Mõrjamaa vald,0504,Rapla maakond,0070,EE,EE006,Kesk-Eesti,EE0060070,Rapla maakond,EE00600700504,Mõrjamaa vald,0504,0070,0,678,0,0
Raikk³la vald,0654,Rapla maakond,0070,EE,EE006,Kesk-Eesti,EE0060070,Rapla maakond,EE00600700654,Raikkula vald,0654,0070,2,168,0.0119047619,0.0119047619
Rapla vald,0669,Rapla maakond,0070,EE,EE006,Kesk-Eesti,EE0060070,Rapla maakond,EE00600700669,Rapla vald,0669,0070,0,195,0,0
Vigala vald,0884,Rapla maakond,0070,EE,EE006,Kesk-Eesti,EE0060070,Rapla maakond,EE00600700884,Vigala vald,0884,0070,0,92,0,0
Alaj§e vald,0122,Ida-Viru maakond,0044,EE,EE007,Kirde-Eesti,EE0070044,Ida-Viru maakond,EE00700440122,Alaj§e vald,0122,0044,4,6,0.6666666667,0.6666666667
Aseri vald,0154,Ida-Viru maakond,0044,EE,EE007,Kirde-Eesti,EE0070044,Ida-Viru maakond,EE00700440154,Aseri vald,0154,0044,0,0,0,-9999
Avinurme vald,0164,Ida-Viru maakond,0044,EE,EE007,Kirde-Eesti,EE0070044,Ida-Viru maakond,EE00700440164,Avinurme vald,0164,0044,1,50,0.02,0.02
Iisaku vald,0224,Ida-Viru maakond,0044,EE,EE007,Kirde-Eesti,EE0070044,Ida-Viru maakond,EE00700440224,Iisaku vald,0224,0044,0,56,0,0
Illuka vald,0229,Ida-Viru maakond,0044,EE,EE007,Kirde-Eesti,EE0070044,Ida-Viru maakond,EE00700440229,Illuka vald,0229,0044,1,32,0.03125,0.03125
J§hvi vald,0251,Ida-Viru maakond,0044,EE,EE007,Kirde-Eesti,EE0070044,Ida-Viru maakond,EE00700440251,J§hvi vad,0251,0044,0,4,0,0
Kivi§li linn,0309,Ida-Viru maakond,0044,EE,EE007,Kirde-Eesti,EE0070044,Ida-Viru maakond,EE00700440309,Kivi§li linn,0309,0044,0,0,0,-9999
Kohtla vald,0320,Ida-Viru maakond,0044,EE,EE007,Kirde-Eesti,EE0070044,Ida-Viru maakond,EE00700440320,Kohtla vald,0320,0044,0,25,0,0
Kohtla-Jõrve linn,0322,Ida-Viru maakond,0044,EE,EE007,Kirde-Eesti,EE0070044,Ida-Viru maakond,EE00700440322,Kohtla-Jõrve linn,0322,0044,0,0,0,-9999
Kohtla-N§mme vald,0323,Ida-Viru maakond,0044,EE,EE007,Kirde-Eesti,EE0070044,Ida-Viru maakond,EE00700440323,Kohtla-N§mme vald,0323,0044,0,0,0,-9999
Lohusuu vald,0420,Ida-Viru maakond,0044,EE,EE007,Kirde-Eesti,EE0070044,Ida-Viru maakond,EE00700440420,Lohusuu vald,0420,0044,4,20,0.2,0.2
L³ganuse vald,0438,Ida-Viru maakond,0044,EE,EE007,Kirde-Eesti,EE0070044,Ida-Viru maakond,EE00700440438,L³ganuse vald,0438,0044,1,64,0.015625,0.015625
Mõetaguse vald,0498,Ida-Viru maakond,0044,EE,EE007,Kirde-Eesti,EE0070044,Ida-Viru maakond,EE00700440498,Mõetaguse vald,0498,0044,2,75,0.0266666667,0.0266666667
Narva linn,0511,Ida-Viru maakond,0044,EE,EE007,Kirde-Eesti,EE0070044,Ida-Viru maakond,EE00700440511,Narva linn,0511,0044,0,0,0,-9999
Narva-J§esuu linn,0513,Ida-Viru maakond,0044,EE,EE007,Kirde-Eesti,EE0070044,Ida-Viru maakond,EE00700440513,Narva-J§esuu linn,0513,0044,0,0,0,-9999
